state,year,covid_era,primary_analysis_window,has_waiver,exit_exam,af_grading,third_grade_retention,vam_eval,raw_intensity,policy_intensity,norm,svi_common_core,svi_highway,svi_opt_out,svi_testing,total_events,edu_events,highway_events,gdelt_edu_salience,gdelt_highway_salience,gdelt_edu_salience_std,svi_common_core_std,svi_testing_std,svi_opt_out_std,backlash_media,backlash_media_winsorized,gdelt_edu_salience_logged,backlash_mass,gov_party_rep,trifecta,election_year,gov_party_change,within_party_stability,raw_highway_intensity,highway_policy_intensity,highway_norm,gdelt_highway_salience_std,svi_highway_std,highway_backlash_media,highway_backlash_media_winsorized,gdelt_highway_salience_logged,highway_backlash_mass,backlash,highway_backlash,backlash_media_winsorized_dm,svi_common_core_std_dm,svi_testing_std_dm,svi_opt_out_std_dm,backlash_pca,highway_backlash_media_winsorized_dm,highway_backlash_mass_dm,academic_achievement_weight,academic_growth_weight,raw_labor,raw_comm,policy_community,policy_labor,policy_lag1,policy_comm_lag1,policy_labor_lag1,backlash_lag1,delta_policy,policy_x_waiver,backlash_x_waiver,backlash_x_rep
AK,2010,0,1,0,0,0,0,0,0,-1.131170576517793,-1.131170576517793,0.0,0.0,0.0,0.0,81968,21,0,0.0002561975405036,0.0,-1.1801051338966926,-0.9828363869856576,-1.0475780394907792,-0.3551872802795315,-1.1801051338966926,-1.1801051338966926,0.2280893331502301,-0.7952005689186561,0,0,0,0.0,1.0,518.973735381697,-0.3922385131271217,-0.3922385131271217,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,-0.4257550314948257,-1.3351701734054169e-17,-0.5399880238962774,-0.5123570807594923,-0.0367548755812874,-5.551115123125783e-17,-0.4257550314948257,0.0,0.0,35.0,40.0,0.0,0.0,-0.6479323682399619,-1.2694192921830503,,,,,,,,
AK,2011,0,1,0,0,0,0,0,0,-1.131170576517793,-1.131170576517793,0.6133333333333334,0.0,0.0,0.0,102194,40,0,0.0003914124116875,0.0,-0.9701234209591298,-0.9309996735363836,-1.0475780394907792,-0.3551872802795315,-0.9701234209591298,-0.9701234209591298,0.3303193547547929,-0.7779216644355648,0,0,1,0.0,2.0,522.1679555480387,-0.3880182965441711,-0.3922385131271217,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,-0.3848432452664712,-1.3351701734054169e-17,-0.3300063109587147,-0.4605203673102183,-0.0367548755812874,-5.551115123125783e-17,-0.3848432452664712,0.0,0.0,35.0,40.0,0.0,0.0,-0.6479323682399619,-1.2694192921830503,-1.131170576517793,-0.6479323682399619,-1.2694192921830503,-0.4257550314948257,0.0,-0.0,-0.0,-0.0
AK,2012,0,1,0,0,0,0,0,0,-1.131170576517793,-1.131170576517793,5.013333333333334,0.0,0.0,0.0,128299,46,0,0.0003585374788579,0.0,-1.0211764940998325,-0.5591275987915907,-1.0475780394907792,-0.3551872802795315,-1.0211764940998325,-1.0211764940998325,0.3064087379159169,-0.6539643061873005,1,0,0,1.0,1.0,514.4917827183349,-0.3981600870853701,-0.3919008958004857,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,-0.0819834032706415,-1.3351701734054169e-17,-0.3810593840994173,-0.0886482925654253,-0.0367548755812874,-5.551115123125783e-17,-0.0819834032706415,0.0,0.0,35.0,40.0,0.0,0.0,-0.6479323682399619,-1.2694192921830503,-1.131170576517793,-0.6479323682399619,-1.2694192921830503,-0.3848432452664712,0.0,-0.0,-0.0,-0.3848432452664712
AK,2013,0,1,1,0,0,0,1,1,-0.1168461914205193,-1.131170576517793,16.10666666666667,0.0,0.0,0.0,130496,59,0,0.0004521211378126,0.0,-0.8758459040678276,0.3784407835952812,-1.0475780394907792,-0.3551872802795315,-0.8758459040678276,-0.8758459040678276,0.3730253411682908,-0.3414415120583431,1,0,0,0.0,2.0,537.4246009076478,-0.3678611550843321,-0.3924016311032764,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,0.6799431301381087,-1.3351701734054169e-17,-0.2357287940674124,0.8489200898214465,-0.0367548755812874,-5.551115123125783e-17,0.6799431301381087,0.0,0.0,35.0,40.0,1.0,0.0,-0.6479323682399619,0.785830990399031,-1.131170576517793,-0.6479323682399619,-1.2694192921830503,-0.0819834032706415,1.0143243850972739,-1.131170576517793,-0.0819834032706415,-0.0819834032706415
AK,2014,0,1,1,0,0,0,1,1,-0.1168461914205193,-1.0500246257100112,19.25333333333333,0.0,0.0,0.0,197020,153,0,0.0007765709065069,0.0,-0.3719921667083137,0.6443856612915568,-1.0475780394907792,-0.3551872802795315,-0.3719921667083137,-0.3719921667083137,0.5746850492804784,-0.2527932194929179,1,0,0,0.0,3.0,556.8802647128738,-0.3421562534972995,-0.3904383930217609,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,0.8932855178320404,-1.3351701734054169e-17,0.2681249432921014,1.1148649675177222,-0.0367548755812874,-5.551115123125783e-17,0.8932855178320404,0.0,0.0,35.0,40.0,1.0,0.0,-0.6479323682399619,0.785830990399031,-0.1168461914205193,-0.6479323682399619,0.785830990399031,0.6799431301381087,0.0,-0.1168461914205193,0.6799431301381087,0.6799431301381087
AK,2015,0,1,1,0,0,0,1,1,-0.1168461914205193,-0.975370350966852,17.173333333333332,0.0,0.0,0.0,200398,95,0,0.0004740566273116,0.0,-0.8417812215459135,0.4685915895940185,-1.0475780394907792,-0.3551872802795315,-0.8417812215459135,-0.8417812215459135,0.3880182104726669,-0.3113912433920974,1,0,1,0.0,4.0,539.2572932705943,-0.365439794533468,-0.386575821859804,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,0.7530845264670536,-1.3351701734054169e-17,-0.2016641115454983,0.9390708958201838,-0.0367548755812874,-5.551115123125783e-17,0.7530845264670536,0.0,0.0,35.0,40.0,1.0,0.0,-0.6479323682399619,0.785830990399031,-0.1168461914205193,-0.6479323682399619,0.785830990399031,0.8932855178320404,0.0,-0.1168461914205193,0.8932855178320404,0.8932855178320404
AK,2016,0,1,1,0,0,0,1,1,-0.1168461914205193,-0.9066884182031452,10.773333333333332,0.0,0.0,0.0,206048,175,0,0.0008493166640782,0.0,-0.2590217615301443,-0.0723132463984074,-1.0475780394907792,-0.3551872802795315,-0.2590217615301443,-0.2590217615301443,0.6148162000875471,-0.4916928553895727,0,0,0,1.0,1.0,592.0818295503228,-0.2956478038800151,-0.3848849396736971,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,0.3095043763338754,-1.3351701734054169e-17,0.3810953484702709,0.3981660598277579,-0.0367548755812874,-5.551115123125783e-17,0.3095043763338754,0.0,0.0,35.0,40.0,1.0,0.0,-0.6479323682399619,0.785830990399031,-0.1168461914205193,-0.6479323682399619,0.785830990399031,0.7530845264670536,0.0,-0.1168461914205193,0.7530845264670536,0.0
AK,2017,0,1,1,0,0,0,1,1,-0.1168461914205193,-0.8435010400605353,6.373333333333334,0.0,0.0,5.416666666666667,189360,297,0,0.0015684410646387,0.0,0.8577412995347176,-0.4441853211432001,-0.4962549057714694,-0.3551872802795315,0.8577412995347176,0.8577412995347176,0.943299125222489,-0.4318758357314003,0,0,0,0.0,2.0,583.3451736094271,-0.3071907089902569,-0.3777459688102025,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,0.1824931752639642,-1.3351701734054169e-17,1.4978584095351328,0.0262939850829652,0.5145682581380224,-5.551115123125783e-17,0.1824931752639642,0.0,0.0,35.0,40.0,1.0,0.0,-0.6479323682399619,0.785830990399031,-0.1168461914205193,-0.6479323682399619,0.785830990399031,0.3095043763338754,0.0,-0.1168461914205193,0.3095043763338754,0.0
AK,2018,0,1,0,0,0,0,0,0,-0.640828187505277,-0.785368652169334,4.826666666666667,0.0,0.0,0.0,161994,44,0,0.0002716149980863,0.0,-1.156162618372931,-0.5749039898413697,-1.0475780394907792,-0.3551872802795315,-1.156162618372931,-1.156162618372931,0.2402877446423534,-0.6592231032038934,0,0,0,0.0,3.0,580.5320181213596,-0.4260926025341303,-0.3721015480246069,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,-0.094007542120197,-1.3351701734054169e-17,-0.5160455083725158,-0.1044246836152044,-0.0367548755812874,-5.551115123125783e-17,-0.094007542120197,0.0,0.0,35.0,40.0,0.0,0.0,-0.6658025329782438,-0.39334175269677624,-0.1168461914205193,-0.6479323682399619,0.785830990399031,0.1824931752639642,-0.5239819960847577,-0.0,0.0,0.0
AK,2019,0,1,0,0,0,0,0,0,-0.640828187505277,-0.7738054149962095,5.386666666666667,0.0,0.0,0.0,169422,166,0,0.0009798019147454,0.0,-0.0563849050345389,-0.5275748166920325,-1.0475780394907792,-0.3551872802795315,-0.0563849050345389,-0.0563849050345389,0.682996796643939,-0.6434467121541144,0,0,1,0.0,4.0,594.1473041962561,-0.4110573474148616,-0.3764208323853688,0.0,-0.2373421113539804,0.0,0.0,0.0,-0.2373421113539804,-0.0621118860656161,-1.3351701734054169e-17,0.5837322049658763,-0.0570955104658672,-0.0367548755812874,-5.551115123125783e-17,-0.0621118860656161,0.0,0.0,35.0,40.0,0.0,0.0,-0.6658025329782438,-0.39334175269677624,-0.640828187505277,-0.6658025329782438,-0.39334175269677624,-0.094007542120197,0.0,-0.0,-0.0,-0.0
